iter	Passed	Remaining
0	0	84
1	1	74
2	2	71
3	2	68
4	3	67
5	4	65
6	4	64
7	5	63
8	6	61
9	6	60
10	7	60
11	8	59
12	8	58
13	9	57
14	10	57
15	10	56
16	11	55
17	11	54
18	12	53
19	13	53
20	13	52
21	14	51
22	15	50
23	15	49
24	16	49
25	17	48
26	17	47
27	18	47
28	19	46
29	19	45
30	20	45
31	21	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	28	37
43	28	36
44	29	35
45	29	34
46	30	34
47	31	33
48	31	32
49	32	32
50	32	31
51	33	30
52	34	30
53	34	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	9
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
